t,pwf,qg
1,1197.48,10962
2,1502.59,9092
3,1497.98,9826
4,1396.13,8837
5,1340.8,8129
6,1212.9,7604
7,1189.51,7197
8,1156.51,6847
9,1068.31,6577
10,993.19,6308
11,974.34,6060
12,956.15,5831
13,927.46,5630
14,911.01,5446
15,883.32,5274
16,861.68,5116
17,852.36,4989
18,837.63,4875
19,846.11,4760
20,808.76,4649
21,800.36,4560
22,820.6,4467
23,789.08,4371
24,785.26,4300
25,785.98,4198
26,791.33,4136
27,793.07,4066
28,787.69,3993
29,804.44,3941
31,793.8,4103
32,797.81,4250
33,779.6,4003
34,761.25,3870
35,727.02,3767
36,713.61,3694
37,733,3535
38,750.99,3455
41,775.13,3317.89
42,762.36,3273.01
43,745.28,3299.01
44,678.92,3162.58
45,734.67,3150.88
46,728.92,3086.94
47,733.3,3087.1
48,732.53,3050.54
49,731.79,3015.53
50,739.08,2996.7
51,724.67,2933.85
52,718.94,2893.33
53,734.99,2801.89
54,793.92,2775.86
55,795.71,2839.02
56,779.16,2794.33
57,792.5,2749.35
58,769.85,2765.32
59,761.96,2718.89
60,777.66,2719.41
61,747.81,2665.51
62,755.55,2673.68
63,728.64,1144.34
71,797.78,2996.1
72,791.38,2936.6
73,791.16,2883.5
74,788.95,2844.9
75,789.75,2805.3
76,780.38,2758.1
77,782.17,2716.6
78,773.73,2687.8
79,774.96,2647.7
80,748.82,2623.4
81,750.27,2610.6
82,735.36,2590.3
83,737.26,2553.7
84,758.31,2476.9
85,739.22,95
100,1333.91,4284.4
101,1324.44,3571.48
102,915.32,4284.42
103,906.35,3879.8
104,871.67,3419.9
105,872.11,3368.6
106,807.13,3190.5
107,806.47,3061.9
108,760.91,2976
109,761.45,2892.9
110,759.76,2803.7
111,757.09,2656.8
112,759.24,2510.8
113,759.23,2427.5
114,1073.26,2402.3
115,1076.54,2419.1
116,1031.41,2427.8
117,1034.19,2478.1
118,775.66,2436
119,776.68,2384.5
120,803.02,2353.1
121,806.3,2338.1
122,787.23,2322.2
123,787.43,2293.7
124,754.97,2272.3
125,756.49,2252
126,718.17,2239.3
127,719.43,2204.2
128,718.25,2235.3
129,719.72,2222.7
130,680.82,2135.7
131,681.7,2109.9
132,698.92,2097.1
133,699.43,2083
134,686.46,2065.7
135,686.71,2042.6
136,673.52,2029.2
137,674.29,2021.1
138,734.3,2009.1
139,734.67,2002.4
140,727.85,1996.3
141,728.45,1992.1
142,714.85,1949.1
143,702.72,440.4
144,604.13,80.2
147,671.91,2632.8
148,667.32,2395
149,636.25,2266.5
150,723.77,2158.4
151,723.37,2062.7
152,721.76,2037.1
153,722.28,1985.8
154,719.76,1974.9
155,722.14,1975.3
156,727.94,1915.3
157,730.33,1952.1
158,712.4,1838.9
159,716.05,1974.5
160,692.28,1872.2
161,693.5,1837.4
162,688.46,1808.7
163,689.51,1812.3
164,672.41,1586.4
165,665.89,523.4
166,604.09,0
168,713.69,2351.1
169,712.83,2167.9
170,685.07,2057
171,685.42,1955.1
172,718.84,1852.2
173,720.3,1838.4
174,712.21,1811.6
175,714.07,1827.8
176,677.98,1805.1
177,679.43,1786.1
178,699.43,1757.1
179,700.58,1726.5
180,716.32,1645.1
181,718.95,1731.4
182,711.19,1721.2
183,712.73,1721.5
184,699.31,1748.7
185,699.54,1640.8
186,710.83,1672.7
187,712.45,1698.5
188,675.63,1598.8
189,676.33,1537.9
190,664.43,1425.4
191,670.83,1780.2
192,700.2,1378.5
193,707.07,1757.2
194,675.23,1729.5
195,672.34,1398.2
196,677.01,1384.4
197,684.59,1897.1
198,674.65,1723.3
199,673.6,1513.2
200,648.83,1064.2
201,646.2,6.4
204,1308.8,2120.7
205,1309.87,2249.4
206,645.71,1862.7
